key,fare_amount
2015-01-27 13:08:24.0000002,10.8615
2015-01-27 13:08:24.0000003,10.947577
2011-10-08 11:53:44.0000002,4.4635377
2012-12-01 21:12:12.0000002,8.608533
2012-12-01 21:12:12.0000003,16.45413
2012-12-01 21:12:12.0000005,11.928639
2011-10-06 12:10:20.0000001,5.761982
2011-10-06 12:10:20.0000003,49.432144
2011-10-06 12:10:20.0000002,12.735403
2014-02-18 15:22:20.0000002,7.0809846
2014-02-18 15:22:20.0000003,10.955978
2014-02-18 15:22:20.0000001,17.379805
2010-03-29 20:20:32.0000002,4.6090064
2010-03-29 20:20:32.0000001,6.2147317
2011-10-06 03:59:12.0000002,7.705101
2011-10-06 03:59:12.0000001,12.21704
2012-07-15 16:45:04.0000006,6.2528915
2012-07-15 16:45:04.0000002,8.506108
2012-07-15 16:45:04.0000003,4.8479695
2012-07-15 16:45:04.0000004,4.5601397
2014-10-29 02:09:56.0000001,7.188983
2014-06-14 13:39:00.00000010,9.033167
2014-06-14 13:39:00.00000060,7.1281137
2014-06-14 13:39:00.00000087,8.917564
2014-06-14 13:39:00.00000050,18.61505
2014-06-14 13:39:00.0000003,6.6572747
2014-06-14 13:39:00.000000158,49.227783
2014-06-14 13:39:00.00000015,33.998344
2014-06-14 13:39:00.00000073,6.7104816
2014-06-14 13:39:00.00000077,16.582726
2014-06-14 13:39:00.000000145,11.986505
2014-06-14 13:39:00.00000079,6.7104816
2014-06-14 13:39:00.000000121,6.3533998
2014-06-14 13:39:00.00000021,11.714267
2014-06-14 13:39:00.0000005,9.353956
2014-06-14 13:39:00.000000165,7.716389
2014-06-14 13:39:00.000000184,6.7104816
2014-06-14 13:39:00.00000059,6.2374334
2014-06-14 13:39:00.00000070,7.716389
2014-06-14 13:39:00.00000068,5.2465005
2014-06-14 13:39:00.000000133,22.796835
2014-06-14 13:39:00.000000128,10.664033
2014-06-14 13:39:00.000000136,19.697851
2014-06-14 13:39:00.00000017,10.220127
2014-06-14 13:39:00.000000111,4.8459473
2014-06-14 13:39:00.000000115,12.252949
2014-06-14 13:39:00.000000168,5.78612
2014-06-14 13:39:00.00000031,6.7811093
2014-06-14 13:39:00.000000116,6.2374334
2014-06-14 13:39:00.00000051,5.2465005
2014-06-14 13:39:00.000000193,12.252949
2014-06-14 13:39:00.000000132,13.125183
2014-06-14 13:39:00.000000167,19.697851
2014-06-14 13:39:00.00000044,6.6572747
2014-06-14 13:39:00.000000138,7.25085
2014-06-14 13:39:00.00000066,16.582726
2014-06-14 13:39:00.00000063,13.857163
2014-06-14 13:39:00.000000154,10.220127
2014-06-14 13:39:00.00000097,13.857163
2014-06-14 13:39:00.00000067,14.270319
2014-06-14 13:39:00.000000179,7.25085
2014-06-14 13:39:00.00000092,10.664033
2014-06-14 13:39:00.00000029,5.446165
2014-06-14 13:39:00.000000177,5.61317
2014-06-14 13:39:00.000000192,7.716389
2014-06-14 13:39:00.000000181,7.25085
2014-06-14 13:39:00.000000120,10.952915
2014-06-14 13:39:00.0000008,6.2374334
2014-06-14 13:39:00.000000103,4.8459473
2014-06-14 13:39:00.00000049,18.61505
2014-06-14 13:39:00.000000108,7.022254
2014-06-14 13:39:00.00000072,5.1095414
2014-06-14 13:39:00.000000182,11.986505
2014-06-14 13:39:00.00000061,7.25085
2014-06-14 13:39:00.00000093,10.482226
2014-06-14 13:39:00.000000170,11.986505
2014-06-14 13:39:00.000000147,49.227783
2014-06-14 13:39:00.000000140,5.823801
2014-06-14 13:39:00.000000159,4.755349
2014-06-14 13:39:00.00000012,5.446165
2014-06-14 13:39:00.00000025,6.6572747
2014-06-14 13:39:00.000000156,6.3533998
2014-06-14 13:39:00.000000152,7.716389
2014-06-14 13:39:00.000000129,10.482226
2014-06-14 13:39:00.000000119,19.697851
2014-06-14 13:39:00.000000118,7.022254
2014-06-14 13:39:00.00000076,4.755349
2014-06-14 13:39:00.000000135,7.3601403
2014-06-14 13:39:00.00000023,17.058624
2014-06-14 13:39:00.00000082,10.664033
2014-06-14 13:39:00.000000125,10.952915
2014-06-14 13:39:00.00000075,9.033167
2014-06-14 13:39:00.000000124,7.022254
2014-06-14 13:39:00.000000172,6.7811093
