Id,Fault
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,1
536,0
537,0
538,0
539,0
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,1
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,1
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,1
670,1
671,0
672,0
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,1
688,1
689,1
690,1
691,0
692,0
693,1
694,0
695,0
696,1
697,0
698,0
699,1
700,1
701,0
702,1
703,0
704,0
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,0
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,1
747,1
748,1
749,0
750,1
751,0
752,1
753,0
754,0
755,0
756,1
757,1
758,1
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,1
777,0
778,0
779,0
780,0
781,1
782,0
783,1
784,0
785,1
786,1
787,0
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,1
822,1
823,0
824,1
825,0
826,0
827,0
828,1
829,0
830,1
831,1
832,0
833,0
834,1
835,0
836,1
837,0
838,1
839,0
840,0
841,1
842,0
843,0
844,1
845,1
846,1
847,0
848,0
849,0
850,1
851,1
852,1
853,1
854,0
855,1
856,0
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,1
872,0
873,1
874,0
875,1
876,1
877,0
878,0
879,1
880,1
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,1
900,1
901,0
902,0
903,1
904,1
905,0
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,1
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,1
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,0
943,0
944,1
945,0
946,1
947,0
948,1
949,0
950,1
951,1
952,1
953,1
954,0
955,0
956,1
957,1
958,1
959,0
960,1
961,0
962,0
963,1
964,1
965,1
966,0
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,0
980,1
981,1
982,1
983,1
984,0
985,0
986,0
987,0
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,1
996,0
997,1
998,1
999,1
1000,0
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,1
1019,0
1020,1
1021,0
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,1
1060,1
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,0
1077,1
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,1
1098,1
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,0
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,1
1144,0
1145,1
1146,0
1147,1
1148,0
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,1
1157,1
1158,0
1159,1
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,1
1184,1
1185,0
1186,0
1187,1
1188,0
1189,0
1190,1
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,0
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,1
1216,1
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
